xfa,yfa,width_fa,height_fa,area_fa,aspect_ratio_fa,xmem,ymem,group
140.6666667,149.6666667,1.4,1.4,1.96,1,100,121,
143.5,147.5,1.4,1.4,1.96,1,100,122,
,,,,,,100,123,
,,,,,,100,124,
,,,,,,100,125,
,,,,,,101,92,
,,,,,,101,125,
,,,,,,101,126,
,,,,,,101,127,
,,,,,,101,128,
,,,,,,101,129,
,,,,,,102,91,
,,,,,,102,92,
,,,,,,102,129,
,,,,,,102,130,
,,,,,,103,91,
,,,,,,103,130,
,,,,,,103,131,
,,,,,,104,91,
,,,,,,104,131,
,,,,,,104,132,
,,,,,,104,133,
,,,,,,105,90,
,,,,,,105,91,
,,,,,,105,133,
,,,,,,105,134,
,,,,,,106,90,
,,,,,,106,134,
,,,,,,106,135,
,,,,,,106,136,
,,,,,,106,137,
,,,,,,107,89,
,,,,,,107,90,
,,,,,,107,137,
,,,,,,107,138,
,,,,,,107,139,
,,,,,,108,89,
,,,,,,108,139,
,,,,,,108,140,
,,,,,,109,89,
,,,,,,109,140,
,,,,,,109,141,
,,,,,,110,89,
,,,,,,110,90,
,,,,,,110,141,
,,,,,,110,142,
,,,,,,111,89,
,,,,,,111,90,
,,,,,,111,142,
,,,,,,111,143,
,,,,,,112,89,
,,,,,,112,143,
,,,,,,112,144,
,,,,,,113,89,
,,,,,,113,90,
,,,,,,113,144,
,,,,,,113,145,
,,,,,,114,90,
,,,,,,114,91,
,,,,,,114,92,
,,,,,,114,93,
,,,,,,114,94,
,,,,,,114,145,
,,,,,,114,146,
,,,,,,114,147,
,,,,,,115,94,
,,,,,,115,95,
,,,,,,115,147,
,,,,,,116,95,
,,,,,,116,147,
,,,,,,116,148,
,,,,,,117,95,
,,,,,,117,148,
,,,,,,117,149,
,,,,,,118,95,
,,,,,,118,149,
,,,,,,118,150,
,,,,,,119,95,
,,,,,,119,150,
,,,,,,119,151,
,,,,,,120,95,
,,,,,,120,151,
,,,,,,121,95,
,,,,,,121,96,
,,,,,,121,151,
,,,,,,121,152,
,,,,,,122,96,
,,,,,,122,97,
,,,,,,122,98,
,,,,,,122,99,
,,,,,,122,152,
,,,,,,123,99,
,,,,,,123,152,
,,,,,,124,99,
,,,,,,124,152,
,,,,,,124,153,
,,,,,,125,99,
,,,,,,125,100,
,,,,,,125,153,
,,,,,,126,100,
,,,,,,126,101,
,,,,,,126,102,
,,,,,,126,153,
,,,,,,127,102,
,,,,,,127,103,
,,,,,,127,152,
,,,,,,127,153,
,,,,,,128,103,
,,,,,,128,152,
,,,,,,129,103,
,,,,,,129,104,
,,,,,,129,152,
,,,,,,129,153,
,,,,,,130,104,
,,,,,,130,105,
,,,,,,130,106,
,,,,,,130,153,
,,,,,,130,154,
,,,,,,131,106,
,,,,,,131,107,
,,,,,,131,108,
,,,,,,131,109,
,,,,,,131,154,
,,,,,,132,109,
,,,,,,132,110,
,,,,,,132,154,
,,,,,,133,110,
,,,,,,133,154,
,,,,,,134,110,
,,,,,,134,111,
,,,,,,134,154,
,,,,,,134,155,
,,,,,,135,110,
,,,,,,135,111,
,,,,,,135,155,
,,,,,,136,110,
,,,,,,136,155,
,,,,,,136,156,
,,,,,,137,110,
,,,,,,137,156,
,,,,,,138,110,
,,,,,,138,111,
,,,,,,138,156,
,,,,,,139,111,
,,,,,,139,137,
,,,,,,139,138,
,,,,,,139,139,
,,,,,,139,153,
,,,,,,139,154,
,,,,,,139,155,
,,,,,,139,156,
,,,,,,140,111,
,,,,,,140,112,
,,,,,,140,113,
,,,,,,140,135,
,,,,,,140,136,
,,,,,,140,137,
,,,,,,140,139,
,,,,,,140,151,
,,,,,,140,152,
,,,,,,140,153,
,,,,,,141,113,
,,,,,,141,132,
,,,,,,141,133,
,,,,,,141,134,
,,,,,,141,135,
,,,,,,141,139,
,,,,,,141,140,
,,,,,,141,141,
,,,,,,141,142,
,,,,,,141,151,
,,,,,,142,113,
,,,,,,142,114,
,,,,,,142,131,
,,,,,,142,132,
,,,,,,142,142,
,,,,,,142,150,
,,,,,,142,151,
,,,,,,143,114,
,,,,,,143,115,
,,,,,,143,116,
,,,,,,143,130,
,,,,,,143,131,
,,,,,,143,142,
,,,,,,143,143,
,,,,,,143,144,
,,,,,,143,145,
,,,,,,143,149,
,,,,,,143,150,
,,,,,,144,116,
,,,,,,144,117,
,,,,,,144,129,
,,,,,,144,130,
,,,,,,144,145,
,,,,,,144,146,
,,,,,,144,149,
,,,,,,145,117,
,,,,,,145,127,
,,,,,,145,128,
,,,,,,145,129,
,,,,,,145,146,
,,,,,,145,147,
,,,,,,145,148,
,,,,,,145,149,
,,,,,,146,117,
,,,,,,146,118,
,,,,,,146,126,
,,,,,,146,127,
,,,,,,147,118,
,,,,,,147,124,
,,,,,,147,125,
,,,,,,147,126,
,,,,,,148,118,
,,,,,,148,119,
,,,,,,148,120,
,,,,,,148,121,
,,,,,,148,122,
,,,,,,148,123,
,,,,,,148,124,
